"user_name","daily_profit","daily_income","expenses","coeff","p_value"
"00415952-3309-4e6b-af4b-b1c02dc2d08b+Sales","82.0575226977951","6220.60696969697","6138.54944699917","-0.731326974390574","0.851441822701075"
"009f7f82-f9be-470a-8df0-1e2043829cd5+Coffee Sales","18.7687281795511","16376.428","16357.6592718204","-19.845017391484","0.0473035465816777"
"009f7f82-f9be-470a-8df0-1e2043829cd5+Food Sales","19.8403366583541","17489.6072","17469.7668633416","-24.9358501862556","0.0843315752826823"
"009f7f82-f9be-470a-8df0-1e2043829cd5+Other Income","55.1992384519351","4383.18","4327.98076154806","3.28364230431163","0.338880604423367"
"009f7f82-f9be-470a-8df0-1e2043829cd5+Soft Beverages Sales ","3.42936408977556","3198.612","3195.18263591022","-3.54650334270375","0.172920157361392"
"00c0d1bb-f1fa-4b19-bd3c-d0aa04fdbf69+Interest Income","0.00345238095238095","0.2075","0.204047619047619","0.000977223739510743","0.0262164906585305"
"00c0d1bb-f1fa-4b19-bd3c-d0aa04fdbf69+Sales","-76.9650604490501","40327.1861538462","40404.1512142952","-70.3564497827579","0.000316358779710059"
"00c0d1bb-f1fa-4b19-bd3c-d0aa04fdbf69+Sales - Dental Products","0.312251184834123","383.801176470588","383.488925285754","-1.10755078094927","0.0250367545088242"
"00c0d1bb-f1fa-4b19-bd3c-d0aa04fdbf69+Sales - Dr A Fung","15.916327014218","15298.7836","15282.8672729858","-85.3892699043867","4.54697559349799e-07"
"00c0d1bb-f1fa-4b19-bd3c-d0aa04fdbf69+Sales - Dr J Yeow","12.982345971564","14981.27","14968.2876540284","-55.8023147264212","0.000149186557577673"
"00c0d1bb-f1fa-4b19-bd3c-d0aa04fdbf69+Sales - V Hughes","-0.831800947867299","1752.31933333333","1753.1511342812","-3.55785338767867","0.0140996469961109"
"02246f3d-262e-4fa6-9db6-b98df684b210+Fuel Refunds","0.64699604743083","355.098","354.451003952569","-0.017321101353885","0.941638333703551"
"02246f3d-262e-4fa6-9db6-b98df684b210+Interest Received","-0.00566233766233766","592.408461538462","592.414123876124","-0.396877038285218","0.829969573415338"
"02246f3d-262e-4fa6-9db6-b98df684b210+Other Revenue","4.74963302752294","515.324230769231","510.574597741708","0.09197160989725","0.917511554652769"
"02246f3d-262e-4fa6-9db6-b98df684b210+Retentions","138.588819714656","39199.9446666667","39061.355846952","-63.0720704995359","0.01052545682818"
"02246f3d-262e-4fa6-9db6-b98df684b210+Sales","5136.05845454545","747918.426388889","742782.367934343","-1424.31267275038","0.00201059854895364"
"02246f3d-262e-4fa6-9db6-b98df684b210+Wage Subsidy Received","-2.89866666666667","973.916","976.814666666667","-7.41886569272187","0.09730507526048"
"0245c701-833d-419c-9ad4-64bff731a0b6+Course Documentation Packs","7.49842767295597","692.3125","684.814072327044","0.327931122090192","0.689266675906726"
"0245c701-833d-419c-9ad4-64bff731a0b6+Interest Income","0.926719576719577","40.5825","39.6557804232804","0.215686342290395","0.249878016796425"
"0245c701-833d-419c-9ad4-64bff731a0b6+Sales","19.6593041237113","5004.16018181818","4984.50087769447","-18.5368179719141","5.02461555154787e-08"
"0301a508-35e1-4202-a969-c46d19209a27+Sales","404.612057877814","146799.208181818","146394.59612394","-207.550349336086","0.229731247627016"
"031b016e-2b68-4358-8b9d-73c77e715f6d+Dairy Produce","-1159.49610465116","138131.052857143","139290.548961794","-684.049494882339","0.207074703621018"
"031b016e-2b68-4358-8b9d-73c77e715f6d+MA Cows","-405.705047169811","20347.298","20753.0030471698","-256.228242639848","0.247196362838925"
"0458a125-7a87-4403-9d41-d55e36f7610b+Interest Received","0.00237569060773481","0.0671428571428571","0.0647671665351223","0.000389154598999131","0.00738756079852709"
"0458a125-7a87-4403-9d41-d55e36f7610b+Sales","37.6593797468354","4926.3255","4888.66612025316","-7.18459429690858","0.00990455904468136"
"0522d377-b889-4398-8582-e92aebd0aabe+APARTMENT 26 INCOME","14.8284507042254","4055.69916666667","4040.87071596244","-18.1490473668902","0.120297600596888"
"0522d377-b889-4398-8582-e92aebd0aabe+BODY CORP REIMBURSEMENTS","-0.120193298969073","755.58","755.700193298969","-1.14829203509294","0.209681065490093"
"0522d377-b889-4398-8582-e92aebd0aabe+BOOKING COMMISSIONS","71.1011898734177","36657.0117241379","36585.9105342645","-61.244748314433","0.0103799155468713"
"0522d377-b889-4398-8582-e92aebd0aabe+Emily - Income","8.93638324873096","599.02","590.083616751269","0.51691588445712","0.113198499343634"
"0522d377-b889-4398-8582-e92aebd0aabe+Emily - Interest Income","0.0587910643889619","6.57692307692308","6.51813201253411","0.00262397201627052","0.400894666853613"
"0522d377-b889-4398-8582-e92aebd0aabe+Emily - Pocket Money","1.09046052631579","44.4285714285714","43.3381109022556","-0.0162121154798327","0.540928928861262"
"0522d377-b889-4398-8582-e92aebd0aabe+Jemima - Income","1.7306976744186","122.114615384615","120.383917710197","0.04250462462831","0.514166318368326"
"0522d377-b889-4398-8582-e92aebd0aabe+Jemima - Interest Income","0.0126544021024967","3.12269230769231","3.11003790558981","-0.00236919169315728","0.226528460883256"
"0522d377-b889-4398-8582-e92aebd0aabe+Jemima - Pocket Money","0.503289473684211","25.8214285714286","25.3181390977444","-0.036404668171166","0.00642350527495933"
"0522d377-b889-4398-8582-e92aebd0aabe+MANAGEMENT FEE","10.8160052562418","4585.75555555556","4574.93955029931","-5.80589838480194","0.100017055922331"
"0522d377-b889-4398-8582-e92aebd0aabe+NPE - INTEREST EARNED","0.00500657030223391","13.0107692307692","13.005762660467","-0.00938708030182241","0.524266406895357"
